espn_rank,player_name
1,Christian McCaffrey
2,Bijan Robinson
3,Breece Hall
4,CeeDee Lamb
5,Tyreek Hill
6,Amon-Ra St. Brown
7,Ja'Marr Chase
8,Justin Jefferson
9,Jonathan Taylor
10,Saquon Barkley
11,A.J. Brown
12,Puka Nacua
13,Garrett Wilson
14,Jahmyr Gibbs
15,Kyren Williams
16,Isiah Pacheco
17,Travis Etienne Jr.
18,Chris Olave
19,Michael Pittman Jr.
20,Mike Evans
21,Davante Adams
22,Marvin Harrison Jr.
23,Drake London
24,Derrick Henry
25,Rachaad White
26,Nico Collins
27,Malik Nabers
28,Alvin Kamara
29,James Cook
30,Josh Jacobs
31,D.K. Metcalf
32,Deebo Samuel Sr.
33,Brandon Aiyuk
34,D.J. Moore
35,Josh Allen
36,Sam LaPorta
37,Travis Kelce
38,Jalen Hurts
39,Joe Mixon
40,Kenneth Walker III
41,De'Von Achane
42,Stefon Diggs
43,DeVonta Smith
44,Jaylen Waddle
45,Cooper Kupp
46,Calvin Ridley
47,Zay Flowers
48,Rashee Rice
49,Lamar Jackson
50,Patrick Mahomes
51,Mark Andrews
52,Tee Higgins
53,George Pickens
54,Chris Godwin
55,Tank Dell
56,Trey McBride
57,Evan Engram
58,Anthony Richardson
59,C.J. Stroud
60,Joe Burrow
61,Dak Prescott
62,Rhamondre Stevenson
63,D'Andre Swift
64,James Conner
65,Aaron Jones
66,Zamir White
67,Amari Cooper
68,Diontae Johnson
69,Keenan Allen
70,Terry McLaurin
71,Christian Kirk
72,Jaxon Smith-Njigba
73,George Kittle
74,Dalton Kincaid
75,Kyle Pitts
76,Javonte Williams
77,Brian Robinson Jr.
78,Najee Harris
79,Jaylen Warren
80,David Montgomery
81,Christian Watson
82,Courtland Sutton
83,Jayden Reed
84,Jordan Addison
85,Xavier Worthy
86,Rome Odunze
87,Tyjae Spears
88,Tony Pollard
89,Austin Ekeler
90,Devin Singletary
91,Kyler Murray
92,Jordan Love
93,Brock Purdy
94,Ladd McConkey
95,Keon Coleman
96,Brian Thomas Jr.
97,Jakobi Meyers
98,DeAndre Hopkins
99,Jayden Daniels
100,David Njoku
101,Jake Ferguson
102,Raheem Mostert
103,Chase Brown
104,Ezekiel Elliott
105,Zack Moss
106,Jonathon Brooks
107,Marquise Brown
108,Mike Williams
109,Tyler Lockett
110,Dallas Goedert
111,Brock Bowers
112,T.J. Hockenson
113,J.K. Dobbins
114,Gus Edwards
115,Chuba Hubbard
116,Jerome Ford
117,Nick Chubb
118,Aaron Rodgers
119,Justin Herbert
120,Kirk Cousins
121,Zach Charbonnet
122,Tyler Allgeier
123,Ty Chandler
124,Jaleel McLaughlin
125,Jerry Jeudy
126,Jameson Williams
127,Darnell Mooney
128,DeMario Douglas
129,Khalil Shakir
130,Ja'Lynn Polk
131,Gabe Davis
132,Caleb Williams
133,Deshaun Watson
134,Trevor Lawrence
135,Pat Freiermuth
136,Dalton Schultz
137,Tyler Conklin
138,Adam Thielen
139,Rashid Shaheed
140,Curtis Samuel
141,Joshua Palmer
142,Trey Benson
143,Blake Corum
